"No.","Time","Source","Destination","Protocol","Length","Info"
"1","2022-12-11 20:32:07.821040440","172.17.0.2","172.17.0.1","TCP","69","3000  >  42220 [PSH, ACK] Seq=1 Ack=1 Win=501 Len=3 TSval=1630176173 TSecr=3075112694"
"2","2022-12-11 20:32:07.822685041","172.17.0.1","172.17.0.2","TCP","73","42220  >  3000 [PSH, ACK] Seq=1 Ack=4 Win=501 Len=7 TSval=3075137697 TSecr=1630176173"
"3","2022-12-11 20:32:07.822703365","172.17.0.2","172.17.0.1","TCP","66","3000  >  42220 [ACK] Seq=4 Ack=8 Win=501 Len=0 TSval=1630176174 TSecr=3075137697"
"4","2022-12-11 20:32:32.823316483","172.17.0.2","172.17.0.1","TCP","69","3000  >  42220 [PSH, ACK] Seq=4 Ack=8 Win=501 Len=3 TSval=1630201175 TSecr=3075137697"
"5","2022-12-11 20:32:32.828390180","172.17.0.1","172.17.0.2","TCP","73","42220  >  3000 [PSH, ACK] Seq=8 Ack=7 Win=501 Len=7 TSval=3075162703 TSecr=1630201175"
"6","2022-12-11 20:32:32.828472719","172.17.0.2","172.17.0.1","TCP","66","3000  >  42220 [ACK] Seq=7 Ack=15 Win=501 Len=0 TSval=1630201180 TSecr=3075162703"
"7","2022-12-11 20:32:57.828901317","172.17.0.2","172.17.0.1","TCP","69","3000  >  42220 [PSH, ACK] Seq=7 Ack=15 Win=501 Len=3 TSval=1630226180 TSecr=3075162703"
"8","2022-12-11 20:32:57.831110321","172.17.0.1","172.17.0.2","TCP","73","42220  >  3000 [PSH, ACK] Seq=15 Ack=10 Win=501 Len=7 TSval=3075187706 TSecr=1630226180"
"9","2022-12-11 20:32:57.831135441","172.17.0.2","172.17.0.1","TCP","66","3000  >  42220 [ACK] Seq=10 Ack=22 Win=501 Len=0 TSval=1630226183 TSecr=3075187706"
"10","2022-12-11 20:33:09.869628537","172.17.0.1","172.17.0.2","TCP","74","52378  >  3000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=3075199744 TSecr=0 WS=128"
